Name,Max Age,Max Shade ,Height,Min Temp,Max Temp,Growth Rate,Seed Age,Seed Amount,Seed Radius,,
Black Spruce,280,0.6,15,-10,15,0.3,30,14,5,,
Sugar Maple,200,0.9,20,0,20,0.4,50,17,40,,
Bigtooth Aspen,60,0.2,30,7,20,0.8,20,14,35,,
Balsam Poplar,70,0.3,25,6,20,0.7,15,14,30,,
Jack Pine,200,0.2,24,-15,13,0.6,40,13,6,,
Balsam Fir,300,0.5,15,-20,10,0.3,30,13,25,,
Speckled Alder,40,0.3,7,6,18,0.7,10,9,3,,
Hobblebush,10,0.9,2,6,20,0.5,2,8,20,,
Sheep Laurel,5,0.2,1,5,21,0.6,1,7,10,,
Red Elderberry,30,0.8,3,4,21,0.3,2,7,30,,
Leatherleaf,7,0.2,1,5,22,0.5,1,6,10,,
Black Medic,1,0.4,0.8,7,19,0.7,0.3,5,10,,
BunchBerry,3,0.8,0.2,5,16,0.6,0.5,4,7,,
Reindeer Lichen,3,0.9,0.1,-15,20,0.3,0.2,3,0.5,,
Ground cedar,10,0.6,0.1,3,20,0.1,1,2,2,,
Bracken Fern,2,0.4,1.5,7,25,0.8,0.5,3,5,,
